comment,training_program,facility,lecturer,others
An ninh đảm bảo,0,2,0,0
Anh bạn chuyên tâm và học tập rất chăm chỉ.,0,0,0,2
Anh bạn cùng lớp rất hòa đồng và dễ gần.,0,0,0,2
Anh bạn của tôi rất năng động và hoạt bát.,0,0,0,3
Anh bạn học của tôi có khả năng giao tiếp tốt và luôn tạo mối quan hệ tốt với mọi người.,0,0,0,3
Anh bạn học của tôi có phẩm chất lãnh đạo tốt và luôn tìm cách để truyền đạt kiến thức cho người khác.,0,0,0,3
Anh bạn học của tôi có thể truyền cảm hứng cho người khác và luôn sẵn sàng giúp đỡ.,0,0,0,3
Anh bạn học của tôi có tính cách thật thà và luôn đưa ra những lời khuyên chân thành cho người khác.,0,0,0,3
Anh bạn học của tôi là một người có tầm nhìn rộng và luôn đưa ra góc nhìn đa chiều về mọi vấn đề.,0,0,0,3
Anh bạn học của tôi là một người rất năng động và có tinh thần thử thách cao.,0,0,0,3
Anh bạn học của tôi là một người rất sáng suốt và có khả năng phân tích vấn đề tốt.,0,0,0,3
Anh bạn học của tôi là một người rất thấu hiểu và luôn đặt mối quan hệ với người khác lên hàng đầu.,0,0,0,3
Anh bạn học của tôi rất chịu khó và có nghị lực vượt trội.,0,0,0,3
Anh bạn học của tôi rất sáng tạo và có nhiều ý tưởng độc đáo.,0,0,0,3
Anh bạn học của tôi rất tỉnh táo và tập trung trong mọi hoạt động của mình.,0,0,0,3
Anh bạn luôn có khả năng giải quyết vấn đề rất tốt và nhanh nhạy trong khắc phục những rắc rối của công việc.,0,0,0,3
Anh bạn luôn cần mẫn và có tính tỉ mỉ trong công việc của mình.,0,0,0,3
Anh bạn luôn tươi cười và luôn giữ tinh thần lạc quan.,0,0,0,3
Anh bạn luôn tạo niềm tin và khích lệ cho mọi người.,0,0,0,3
Anh bạn luôn xét đến tầm nhìn và lợi ích của đội nhóm trong công việc.,0,0,0,3
Anh bạn là người có tài năng quản lý nhóm và xử lý tình huống khó khăn.,0,0,0,3
Anh bạn là người có tư duy nhạy bén và luôn đưa ra những ý tưởng mới và phù hợp nhất cho công việc đồng đội.,0,0,0,3
Anh bạn là người luôn có những ý tưởng mới và sáng tạo trong công việc đồng đội.,0,0,0,3
Anh bạn là người luôn có tình thương và quan tâm đến người khác.,0,0,0,3
Anh bạn là người luôn tôn trọng ý kiến của người khác và dễ chịu hơn bao giờ hết.,0,0,0,3
Anh bạn là người luôn đưa ra những giải pháp tốt nhất cho vấn đề của nhóm.,0,0,0,3
Anh bạn là người rất chuyên nghiệp và có sự nghiêm túc trong công việc.,0,0,0,3
Anh bạn là người rất năng động và luôn giúp đỡ mọi người xung quanh.,0,0,0,3
"Anh bạn là người rất phân tích và giải thích một cách rõ ràng, dễ hiểu cho mọi người.",0,0,0,3
