comment,facility,lecturer,others,training_program
slide giáo trình đầy đủ .,0,0,0,3
"nhiệt tình giảng dạy , gần gũi với sinh viên .",0,3,0,0
đi học đầy đủ full điểm chuyên cần .,0,0,0,1
chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0,1,0,0
"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",0,3,0,0
"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",0,3,0,0
"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",0,0,2,0
"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0,0,0,1
"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0,0,0,1
cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0,0,0,1
thầy rất tận tình và đi dạy rất đúng giờ .,0,3,0,0
dễ bị áp lực .,0,0,1,0
"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",0,2,0,0
môn học còn dễ cần nâng độ khó lên nữa .,0,0,0,1
"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0,0,0,1
hài lòng về tất cả .,0,0,3,0
"nhiệt tình , vui vẻ .",0,3,0,0
thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,0,3,0,0
phong cách giảng bài của thầy rất gần gũi với sinh viên !,0,3,0,0
giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,0,3,0,0
cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0,0,0,1
tiết học thoải mái .,0,3,0,0
"thầy nhiệt tình , quan tâm tới sinh viên .",0,3,0,0
"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",0,3,0,0
"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0,0,0,1
tài liệu được bổ sung nhiều và đầy đủ trên moodle .,0,0,0,3
giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0,1,0,0
nên biên soạn một tài liệu của chính trường ta .,0,0,0,1
không giúp đỡ sinh viên trong những vấn đề xung quanh .,0,1,0,0
"bài tập đa dạng , cụ thể .",0,0,0,3
"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0,0,0,1
slide up đầy đủ trước mỗi buổi học .,0,0,0,3
"nội dung giảng dạy quá nhàm chán , khô khan .",0,0,0,1
lượng kiến thức quá nhiều trong một học kỳ .,0,0,0,1
thầy chép bảng nhiều .,0,1,0,0
"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",0,3,0,0
"chúc các thầy cô , anh chị làm việc vui vẻ !",0,0,3,0
"hay , nhiệt tình , dễ hiểu .",0,3,0,0
"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0,1,0,0
"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",0,3,0,0
hy vọng học kỳ sau có thể học được với cô .,0,3,0,0
nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0,0,0,1
trong khi giảng nói nhỏ quá .,0,1,0,0
thực hành khó hiểu .,0,0,0,1
"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",0,3,0,0
"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",0,3,0,0
"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",0,3,0,0
"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0,1,0,0
"thầy nhiệt tình , dễ chịu .",0,3,0,0
"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0,1,0,0
đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,0,3,0,0
cô rất nhiệt tình và tận dụng tốt thời gian .,0,0,0,3
"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",0,3,0,0
"thầy nhiệt tình , gần gũi .",0,3,0,0
"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",0,3,0,0
tạo ra sự cạnh tranh trong mỗi buổi thực hành .,0,2,0,0
bài tập và có code tham khảo .,0,0,0,3
"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",1,0,0,0
tài liệu không chi tiết lắm .,0,0,0,1
"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",0,3,0,0
thầy dạy rất hay và nhiệt tình .,0,3,0,0
"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0,1,0,0
giúp đỡ học sinh quá ít .,0,1,0,0
cô dạy buồn ngủ quá .,0,1,0,0
nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0,0,0,1
thầy tận tình vui tính .,0,3,0,0
